,Rank,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
89,90,Pac-Man,2600,1982,Atari,7.81,9.03
1115,1117,Dig Dug,2600,1982,Atari,1.64,2.05
1705,1707,Pole Position,2600,1982,Atari,1.18,1.18
1817,1819,Moon Patrol,2600,1982,Atari,1.12,1.12
1851,1853,Jungle Hunt,2600,1982,Atari,1.1,1.1
1905,1907,Joust,2600,1982,Atari,1.08,1.08
2406,2408,Enduro,2600,1982,Quelle,0.87,0.87
2629,2631,Yars' Revenge,2600,1982,Atari,0.78,0.78
2660,2662,Galaxian,2600,1982,Atari,0.77,0.77
2843,2845,Kangaroo,2600,1982,Atari,0.72,0.72
3079,3081,Keystone Kapers,2600,1982,Activision,0.66,0.66
3215,3217,X-Man,2600,1982,Universal Gamex,0.63,0.63
3248,3250,Battlezone,2600,1982,Atari,0.62,0.62
3266,3268,Halloween,2600,1982,Wizard Video Games,0.62,0.62
3643,3645,The Activision Decathlon,2600,1982,Activision,0.55,0.55
3716,3718,Action Force,2600,1982,CPG Products,0.54,0.54
3966,3968,Chopper Command,2600,1982,Activision,0.5,0.5
4013,4015,RealSports Tennis,2600,1982,Atari,0.5,0.5
4016,4018,Gauntlet,2600,1982,Answer Software,0.5,0.5
4801,4803,Congo Bongo,2600,1982,Sega,0.4,0.4
4894,4896,Bump 'n' Jump,2600,1982,Mattel Interactive,0.39,0.39
5064,5066,Gravitar,2600,1982,Atari,0.38,0.38
5381,5383,Alien's Return,2600,1982,ITT Family Games,0.34,0.34
5395,5397,Bank Heist,2600,1982,20th Century Fox Video Games,0.34,0.34
5658,5660,Frankenstein's Monster,2600,1982,Data Age,0.32,0.32
5773,5775,Mountain King,2600,1982,CBS Electronics,0.31,0.31
6145,6147,Polaris,2600,1982,Tigervision,0.28,0.28
6265,6267,Mr. Do!,2600,1982,Coleco,0.27,0.27
6728,6730,Porky's,2600,1982,20th Century Fox Video Games,0.25,0.25
7149,7151,Assault,2600,1982,Bomb,0.22,0.22
8458,8460,Death Trap,2600,1982,Avalon Interactive,0.17,0.17
8758,8760,Pressure Cooker,2600,1982,Activision,0.15,0.15
9106,9108,Krull,2600,1982,Atari,0.14,0.14
