Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Super Mario World,SNES,1990,Nintendo,20.61,20.61
Dr. Mario,NES,1990,Nintendo,4.85,4.85
Dragon Warrior IV,NES,1990,Enix Corporation,3.12,3.12
F-Zero,SNES,1990,Nintendo,2.85,2.85
Streets of Rage,GEN,1990,Sega,2.6,2.6
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Konami Digital Entertainment,2.23,2.23
Final Fight,SNES,1990,Capcom,1.56,1.56
Nintendo World Cup,NES,1990,Nintendo,1.48,1.48
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Capcom,1.19,1.19
Mega Man 3,NES,1990,Capcom,1.17,1.17
Pilotwings,SNES,1990,Nintendo,1.14,1.14
Famista '91,NES,1990,Namco Bandai Games,0.3,0.3
