Name,Platform,Year,Publisher,Global_Sales,Total_Sales
The Legend of Zelda: Ocarina of Time,N64,1998,Nintendo,7.6,7.6
Tekken 3,PS,1998,Sony Computer Entertainment,7.16,7.16
Crash Bandicoot 3: Warped,PS,1998,Sony Computer Entertainment,7.13,7.13
Metal Gear Solid,PS,1998,Konami Digital Entertainment,6.03,6.03
Resident Evil 2,MULTI,1998,Virgin Interactive,5.82,6.44
Spyro the Dragon,PS,1998,Sony Computer Entertainment,5.0,5.0
Banjo-Kazooie,MULTI,1998,Nintendo,3.65,3.6599999999999997
Grand Theft Auto 2,PS,1998,Take-Two Interactive,3.42,3.42
WWF War Zone,MULTI,1998,Acclaim Entertainment,3.36,4.6899999999999995
Rugrats: Search For Reptar,PS,1998,THQ,3.34,3.34
Need for Speed III: Hot Pursuit,PS,1998,Electronic Arts,3.12,3.12
Colin McRae Rally,PS,1998,Codemasters,2.87,2.87
A Bug's Life,MULTI,1998,Sony Computer Entertainment,2.79,3.42
Mario Party,N64,1998,Nintendo,2.7,2.7
Tomb Raider: The Last Revelation,PS,1998,Eidos Interactive,2.48,2.48
Sonic Adventure,DC,1998,Sega,2.42,2.42
Dino Crisis,PS,1998,Capcom,2.41,2.41
WCW/nWo Revenge,N64,1998,THQ,2.38,2.38
Cool Boarders 3,PS,1998,989 Studios,2.31,2.31
Star Wars: Rogue Squadron,N64,1998,Nintendo,2.17,2.17
Parasite Eve,PS,1998,SquareSoft,2.1,2.1
R4: Ridge Racer Type 4,PS,1998,Namco Bandai Games,2.06,2.06
1080°: TenEighty Snowboarding,N64,1998,Nintendo,2.03,2.03
WCW Nitro,MULTI,1998,THQ,1.88,2.09
FIFA 2000,PS,1998,Electronic Arts,1.87,1.87
"Hey You, Pikachu!",N64,1998,Nintendo,1.83,1.83
WWF Attitude,MULTI,1998,Acclaim Entertainment,1.76,2.4699999999999998
Madden NFL 2000,MULTI,1998,Electronic Arts,1.75,2.36
Madden NFL 99,MULTI,1998,Electronic Arts,1.74,2.64
Twisted Metal III,PS,1998,989 Studios,1.73,1.73
Toy Story 2: Buzz Lightyear to the Rescue!,MULTI,1998,Activision,1.71,2.64
WCW/NWO Thunder,PS,1998,THQ,1.69,1.69
Sled Storm,MULTI,1998,Electronic Arts,1.62,2.0700000000000003
F-1 World Grand Prix,N64,1998,Video System,1.6,1.6
NFL GameDay 99,PS,1998,989 Studios,1.53,1.53
NASCAR 99,MULTI,1998,Electronic Arts,1.52,2.5
NBA Live 2000,MULTI,1998,Electronic Arts,1.52,1.96
NFL Blitz,MULTI,1998,Midway Games,1.5,2.56
Pac-Man World,PS,1998,Namco Bandai Games,1.5,1.5
Xenogears,PS,1998,SquareSoft,1.46,1.46
Mortal Kombat 4,MULTI,1998,GT Interactive,1.46,2.19
WCW vs the World,PS,1998,THQ,1.46,1.46
Duke Nukem: Time to Kill,PS,1998,Take-Two Interactive,1.38,1.38
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Activision,1.37,1.37
Pocket Monsters Stadium,N64,1998,Nintendo,1.37,1.37
TOCA 2: Touring Cars,PS,1998,Codemasters,1.32,1.32
Devil Dice,PS,1998,THQ,1.26,1.26
Brian Lara Cricket,PS,1998,Codemasters,1.26,1.26
Wheel of Fortune,MULTI,1998,Hasbro Interactive,1.26,3.46
Road Rash 3D,PS,1998,Electronic Arts,1.25,1.25
Vigilante 8,MULTI,1998,Activision,1.23,1.54
WCW Mayhem,MULTI,1998,Electronic Arts,1.22,2.01
Kobe Bryant in NBA Courtside,N64,1998,Nintendo,1.19,1.19
Cool Boarders 4,PS,1998,989 Studios,1.17,1.17
Brave Fencer Musashi,PS,1998,SquareSoft,1.14,1.14
South Park,MULTI,1998,Acclaim Entertainment,1.14,1.8499999999999999
Jampack Winter '98,PS,1998,Sony Computer Entertainment,1.13,1.13
F-Zero X,N64,1998,Nintendo,1.1,1.1
Star Ocean: The Second Story,PS,1998,Sony Computer Entertainment,1.1,1.1
BeatMania,MULTI,1998,Konami Digital Entertainment,1.09,1.1600000000000001
NFL Blitz 2000,MULTI,1998,Midway Games,1.09,1.67
Ready 2 Rumble Boxing,MULTI,1998,Midway Games,1.08,1.67
NCAA Football 99,PS,1998,Electronic Arts,1.06,1.06
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,D3Publisher,1.06,1.06
Monster Rancher 2,PS,1998,Sony Computer Entertainment,1.05,1.05
Jeremy McGrath Supercross 98,PS,1998,Acclaim Entertainment,1.04,1.04
Street Fighter Alpha 3,PS,1998,Virgin Interactive,1.03,1.03
Pong: The Next Level,PS,1998,Hasbro Interactive,1.01,1.01
Oddworld: Abe's Exoddus,PS,1998,GT Interactive,0.99,0.99
Glover,MULTI,1998,Hasbro Interactive,0.91,1.08
NHL 2000,PS,1998,Electronic Arts,0.87,0.87
MLB 99,PS,1998,Sony Computer Entertainment,0.86,0.86
The Game of Life,PS,1998,Unknown,0.83,0.83
MediEvil,PS,1998,Sony Computer Entertainment,0.83,0.83
The Next Tetris,PS,1998,Atari,0.81,0.81
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Konami Digital Entertainment,0.81,0.81
Major League Baseball Featuring Ken Griffey Jr,N64,1998,Nintendo,0.79,0.79
NBA ShootOut 98,PS,1998,Sony Computer Entertainment,0.78,0.78
ISS Pro Evolution,PS,1998,Konami Digital Entertainment,0.76,0.76
SD Gundam G Generation,PS,1998,Namco Bandai Games,0.72,0.72
Fear Effect,PS,1998,Eidos Interactive,0.72,0.72
Command & Conquer: Red Alert Retaliation,PS,1998,Virgin Interactive,0.7,0.7
Chocobo's Dungeon 2,PS,1998,SquareSoft,0.7,0.7
NFL Xtreme,PS,1998,Sony Computer Entertainment,0.69,0.69
Bushido Blade 2,PS,1998,SquareSoft,0.68,0.68
Suikoden II,PS,1998,Konami Digital Entertainment,0.68,0.68
Street Sk8er,PS,1998,Electronic Arts,0.67,0.67
Spice World,PS,1998,Sony Computer Entertainment,0.67,0.67
Tiger Woods PGA Tour 2000,PS,1998,Electronic Arts,0.66,0.66
Legend of Legaia,PS,1998,Sony Computer Entertainment,0.66,0.66
Um Jammer Lammy,PS,1998,Sony Computer Entertainment,0.66,0.66
Animaniacs Ten Pin Alley,PS,1998,ASC Games,0.66,0.66
Cruis'n World,N64,1998,Nintendo,0.64,0.64
NFL Quarterback Club 99,N64,1998,Acclaim Entertainment,0.62,0.62
Small Soldiers,PS,1998,Electronic Arts,0.61,0.61
BeatMania Append 3rdMix,PS,1998,Konami Digital Entertainment,0.6,0.6
Xena: Warrior Princess,PS,1998,Electronic Arts,0.6,0.6
CyberTiger,MULTI,1998,Electronic Arts,0.59,0.6499999999999999
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Konami Digital Entertainment,0.59,0.59
World Cup 98,N64,1998,Electronic Arts,0.58,0.58
International Superstar Soccer '98,N64,1998,Konami Digital Entertainment,0.58,0.58
Tales of Phantasia,MULTI,1998,Namco Bandai Games,0.58,0.98
Gex: Enter the Gecko,PS,1998,BMG Interactive Entertainment,0.58,0.58
Championship Motocross featuring Ricky Carmichael,PS,1998,THQ,0.58,0.58
Lunar: Silver Star Story Complete,MULTI,1998,Kadokawa Shoten,0.55,0.76
Super Robot Taisen F Kanketsuhen,MULTI,1998,Banpresto,0.55,0.78
FIFA 99,N64,1998,Electronic Arts,0.54,0.54
Bust A Groove,PS,1998,Sony Computer Entertainment,0.54,0.54
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998,Sega,0.53,0.53
Rival Schools: United By Fate,PS,1998,Capcom,0.52,0.52
Wu-Tang: Shaolin Style,PS,1998,Activision,0.48,0.48
All-Star Baseball 99,N64,1998,Acclaim Entertainment,0.48,0.48
Bomberman Hero,N64,1998,Nintendo,0.47,0.47
Quest 64,N64,1998,Konami Digital Entertainment,0.47,0.47
NCAA Gamebreaker 99,PS,1998,989 Studios,0.45,0.45
World Stadium 2,PS,1998,Namco Bandai Games,0.45,0.45
Apocalypse,PS,1998,Activision,0.45,0.45
WipEout 64,N64,1998,Midway Games,0.43,0.43
Rascal,PS,1998,Psygnosis,0.42,0.42
JGTC: All-Japan Grand Touring Car Championship,PS,1998,TYO,0.42,0.42
Rush 2: Extreme Racing USA,N64,1998,Midway Games,0.42,0.42
International Superstar Soccer Pro '98,PS,1998,Konami Digital Entertainment,0.42,0.42
Quake II,MULTI,1998,Activision,0.41,0.71
'98 Koshien,PS,1998,Magical Company,0.41,0.41
Thrasher Presents: Skate and Destroy,PS,1998,Take-Two Interactive,0.39,0.39
Extreme-G: XG2,N64,1998,Acclaim Entertainment,0.39,0.39
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Human Entertainment,0.38,0.38
Ninja: Shadow of Darkness,PS,1998,Eidos Interactive,0.38,0.38
Rogue Trip: Vacation 2012,PS,1998,GT Interactive,0.38,0.38
Yarudora Series Vol.1: Double Cast,PS,1998,Sony Computer Entertainment,0.37,0.37
Virtua Fighter 3tb,DC,1998,Sega,0.37,0.37
South Park Rally,MULTI,1998,Acclaim Entertainment,0.36,0.56
Blasto,PS,1998,Sony Computer Entertainment,0.35,0.35
Rally Cross 2,PS,1998,989 Studios,0.35,0.35
Kurushi Final: Mental Blocks,PS,1998,Sony Computer Entertainment,0.34,0.34
Off Road Challenge,N64,1998,GT Interactive,0.34,0.34
Backstreet Billiards,PS,1998,ASCII Entertainment,0.34,0.34
Tiny Tank,PS,1998,Sony Computer Entertainment,0.34,0.34
Bomberman World,PS,1998,Sony Computer Entertainment,0.33,0.33
Deathtrap Dungeon,PS,1998,Eidos Interactive,0.33,0.33
BattleTanx,N64,1998,3DO,0.33,0.33
Pitfall 3D: Beyond the Jungle,PS,1998,Activision,0.33,0.33
NHL Breakaway 98,MULTI,1998,Acclaim Entertainment,0.32,0.46
Heart of Darkness,PS,1998,Ocean,0.32,0.32
Sesame Street: Elmo's Letter Adventure,MULTI,1998,NewKidCo,0.31,0.49
Tiny Toon Adventures: The Great Beanstalk,PS,1998,Sony Computer Entertainment,0.31,0.31
Goemon's Great Adventure,N64,1998,Konami Digital Entertainment,0.31,0.31
Demolition Racer,PS,1998,Infogrames,0.31,0.31
NHL FaceOff 2000,PS,1998,Sony Computer Entertainment,0.31,0.31
South Park: Chef's Luv Shack,MULTI,1998,Acclaim Entertainment,0.31,0.55
Ehrgeiz,PS,1998,SquareSoft,0.3,0.3
Kagero: Deception II,PS,1998,Virgin Interactive,0.29,0.29
Viz,N64,1998,Acclaim Entertainment,0.29,0.29
Top Gear Overdrive,N64,1998,Kemco,0.29,0.29
Dead or Alive,MULTI,1998,Sony Computer Entertainment,0.28,0.46
Civilization II,PS,1998,Activision,0.28,0.28
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Konami Digital Entertainment,0.28,0.28
Warpath: Jurassic Park,PS,1998,Electronic Arts,0.28,0.28
Resident Evil 2: Dual Shock Edition,PS,1998,Capcom,0.27,0.27
Jikkyou Powerful Pro Yakyuu 5,N64,1998,Konami Digital Entertainment,0.27,0.27
NBA Jam 99,N64,1998,Acclaim Entertainment,0.27,0.27
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Konami Digital Entertainment,0.27,0.27
Jade Cocoon: Story of the Tamamayu,PS,1998,Crave Entertainment,0.27,0.27
The House of the Dead 2,DC,1998,Sega,0.26,0.26
Marvel Super Heroes vs. Street Fighter,PS,1998,Virgin Interactive,0.26,0.26
Choro Q3,PS,1998,Takara,0.26,0.26
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998,Axela,0.25,0.25
Kidou Senshi Gundam: Giren no Yabou,SAT,1998,Namco Bandai Games,0.25,0.25
Evil Zone,PS,1998,Titus,0.25,0.25
Fox Sports College Hoops '99,N64,1998,Fox Interactive,0.25,0.25
Gex 64: Enter the Gecko,N64,1998,GT Interactive,0.25,0.25
Caesars Palace II,PS,1998,Interplay,0.25,0.25
Pro Yakyuu Team o Tsukurou!,MULTI,1998,Sega,0.25,0.48
Sentimental Graffiti,SAT,1998,NEC Interchannel,0.25,0.25
Lucky Luke,PS,1998,Ocean,0.24,0.24
Forsaken,PS,1998,Acclaim Entertainment,0.24,0.24
Wild 9,PS,1998,Interplay,0.24,0.24
