Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Call of Duty: Black Ops II,MULTI,2012,Activision,14.03,28.19,us
Halo 4,X360,2012,Microsoft Game Studios,9.76,9.76,us
FIFA Soccer 13,MULTI,2012,Electronic Arts,8.24,14.62,us
Just Dance 4,MULTI,2012,Ubisoft,6.91,8.93,fr
Assassin's Creed III,MULTI,2012,Ubisoft,6.5,12.16,fr
New Super Mario Bros. U,WiiU,2012,Nintendo,5.19,5.19,jp
Nintendo Land,WiiU,2012,Nintendo,4.44,4.44,jp
Far Cry 3,MULTI,2012,Ubisoft,3.45,6.49,fr
Mario Party 9,Wii,2012,Nintendo,3.32,3.32,jp
Resident Evil 6,MULTI,2012,Capcom,3.15,5.24,jp
Borderlands 2,MULTI,2012,Take-Two Interactive,3.07,5.35,us
Mass Effect 3,MULTI,2012,Electronic Arts,3.07,4.81,us
NBA 2K13,MULTI,2012,Take-Two Interactive,3.0,6.07,us
Madden NFL 13,MULTI,2012,Electronic Arts,2.86,6.21,us
Skylanders Giants,MULTI,2012,Activision,2.65,5.45,us
Hitman: Absolution,MULTI,2012,Square Enix,2.19,3.95,jp
Forza Horizon,X360,2012,Microsoft Game Studios,2.02,2.02,us
Max Payne 3,MULTI,2012,Take-Two Interactive,1.9,3.5599999999999996,us
Kinect Star Wars,X360,2012,Microsoft Game Studios,1.78,1.78,us
Dragon's Dogma,MULTI,2012,Capcom,1.78,2.58,jp
Dishonored,MULTI,2012,Bethesda Softworks,1.73,3.79,us
LEGO Batman 2: DC Super Heroes,MULTI,2012,Warner Bros. Interactive Entertainment,1.68,4.49,us
Pro Evolution Soccer 2013,MULTI,2012,Konami Digital Entertainment,1.56,1.97,jp
Tom Clancy's Ghost Recon: Future Soldier,MULTI,2012,Ubisoft,1.46,2.42,fr
Medal of Honor: Warfighter,MULTI,2012,Electronic Arts,1.46,2.63,us
WWE '13,MULTI,2012,THQ,1.39,2.83,us
FIFA Street,MULTI,2012,Electronic Arts,1.29,2.68,us
LEGO The Lord of the Rings,MULTI,2012,Warner Bros. Interactive Entertainment,1.26,3.33,us
One Piece: Pirate Warriors,PS3,2012,Namco Bandai Games,1.2,1.2,jp
Resident Evil: Operation Raccoon City,MULTI,2012,Capcom,1.18,1.96,jp
NCAA Football 13,MULTI,2012,Electronic Arts,1.08,1.9500000000000002,us
F1 2012,MULTI,2012,Codemasters,1.07,1.57,gb
Sleeping Dogs,MULTI,2012,Square Enix,1.06,2.5700000000000003,jp
UFC Undisputed 3,MULTI,2012,THQ,1.05,2.05,us
Epic Mickey 2: The Power of Two,MULTI,2012,Disney Interactive Studios,1.03,2.31,us
ZombiU,MULTI,2012,Ubisoft,1.02,1.07,fr
Sniper Elite V2,MULTI,2012,505 Games,0.98,1.8499999999999999,it
PlayStation All-Stars Battle Royale,PS3,2012,Sony Computer Entertainment,0.96,0.96,jp
Dragon Quest X,MULTI,2012,Square Enix,0.96,1.3599999999999999,jp
The Witcher 2: Assassins of Kings,X360,2012,Namco Bandai Games,0.94,0.94,jp
MLB 12: The Show,PS3,2012,Sony Computer Entertainment,0.92,0.92,jp
LittleBigPlanet Karting,PS3,2012,Sony Computer Entertainment,0.9,0.9,jp
The Jak and Daxter Collection,PS3,2012,Sony Computer Entertainment,0.89,0.89,jp
Kingdoms of Amalur: Reckoning,MULTI,2012,Electronic Arts,0.89,1.76,us
Tekken Tag Tournament 2,MULTI,2012,Namco Bandai Games,0.88,1.42,jp
Tales of Xillia 2,PS3,2012,Namco Bandai Games,0.87,0.87,jp
Darksiders II,MULTI,2012,THQ,0.86,2.1,us
Devil May Cry HD Collection,MULTI,2012,Capcom,0.84,1.28,jp
Street Fighter X Tekken,MULTI,2012,Capcom,0.84,1.31,jp
Dance Central 3,X360,2012,Microsoft Game Studios,0.83,0.83,us
The Amazing Spider-Man (Console Version),MULTI,2012,Activision,0.83,1.83,us
Twisted Metal (2012),PS3,2012,Sony Computer Entertainment,0.82,0.82,jp
[Prototype 2],MULTI,2012,Activision,0.8,1.55,us
The Walking Dead: Season One,MULTI,2012,Avanquest Software,0.79,2.15,fr
God of War Saga,PS3,2012,Sony Computer Entertainment,0.78,0.78,jp
SoulCalibur V,MULTI,2012,Namco Bandai Games,0.76,1.35,jp
Naruto Shippuden: Ultimate Ninja Storm Generations,MULTI,2012,Namco Bandai Games,0.74,1.19,jp
Persona 4: Arena,MULTI,2012,Atlus,0.74,0.87,jp
Ratchet & Clank Collection,PS3,2012,Sony Computer Entertainment,0.73,0.73,jp
London 2012: The Official Video Game of the Olympic Games,MULTI,2012,Sega,0.7,1.29,jp
Book of Spells,PS3,2012,Sony Computer Entertainment,0.7,0.7,jp
Kirby's Dream Collection: Special Edition,Wii,2012,Nintendo,0.68,0.68,jp
Lollipop Chainsaw,MULTI,2012,Warner Bros. Interactive Entertainment,0.67,1.1600000000000001,us
NHL 13,MULTI,2012,Electronic Arts,0.67,1.32,us
Puzzler Brain Games,Wii,2012,Namco Bandai Games,0.66,0.66,jp
Dead or Alive 5,MULTI,2012,Tecmo Koei,0.65,1.3800000000000001,jp
XCOM: Enemy Unknown,MULTI,2012,Take-Two Interactive,0.64,1.24,us
Sonic & All-Stars Racing Transformed,MULTI,2012,Sega,0.63,1.7000000000000002,jp
Kinect Rush: A Disney Pixar Adventure,X360,2012,Microsoft Game Studios,0.6,0.6,us
Yakuza 5,PS3,2012,Sega,0.59,0.59,jp
Doom 3 BFG Edition,MULTI,2012,Bethesda Softworks,0.59,1.08,us
Spec Ops: The Line,MULTI,2012,Take-Two Interactive,0.57,1.0,us
