Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Duck Hunt,NES,1984,Nintendo,28.31,28.31,jp
Excitebike,NES,1984,Nintendo,4.16,4.16,jp
Golf,NES,1984,Nintendo,4.01,4.01,jp
Tennis,NES,1984,Nintendo,2.17,2.17,jp
Pinball,NES,1984,Nintendo,1.85,1.85,jp
F1 Race,NES,1984,Nintendo,1.52,1.52,jp
Xevious,NES,1984,Namco Bandai Games,1.52,1.52,jp
4 Nin uchi Mahjong,NES,1984,Nintendo,1.45,1.45,jp
Hogan's Alley,NES,1984,Nintendo,1.27,1.27,jp
Lode Runner,NES,1984,Hudson Soft,1.1,1.1,jp
Clu Clu Land,NES,1984,Nintendo,0.82,0.82,jp
Mappy,NES,1984,Namco Bandai Games,0.69,0.69,jp
Beamrider,2600,1984,Activision,0.27,0.27,us
Pac-Man,MULTI,1982,Atari,7.81,9.03,us
Dig Dug,MULTI,1982,Atari,1.64,2.05,us
Pole Position,2600,1982,Atari,1.18,1.18,us
Moon Patrol,2600,1982,Atari,1.12,1.12,us,us
Jungle Hunt,2600,1982,Atari,1.1,1.1,us
Joust,2600,1982,Atari,1.08,1.08,us
Enduro,2600,1982,Quelle,0.87,0.87,us
Yars' Revenge,2600,1982,Atari,0.78,0.78,us
Galaxian,2600,1982,Atari,0.77,0.77,us
Kangaroo,2600,1982,Atari,0.72,0.72,us
Keystone Kapers,2600,1982,Activision,0.66,0.66,us
X-Man,2600,1982,Universal Gamex,0.63,0.63,us
Battlezone,2600,1982,Atari,0.62,0.62,us
Halloween,2600,1982,Wizard Video Games,0.62,0.62,us
The Activision Decathlon,2600,1982,Activision,0.55,0.55,us
Action Force,2600,1982,CPG Products,0.54,0.54,us
Chopper Command,2600,1982,Activision,0.5,0.5,us
RealSports Tennis,2600,1982,Atari,0.5,0.5,us
Gauntlet,2600,1982,Answer Software,0.5,0.5,us
Congo Bongo,2600,1982,Sega,0.4,0.4,jp
Bump 'n' Jump,2600,1982,Mattel Interactive,0.39,0.39,us
Gravitar,2600,1982,Atari,0.38,0.38,us
Alien's Return,2600,1982,ITT Family Games,0.34,0.34,us
Bank Heist,2600,1982,20th Century Fox Video Games,0.34,0.34,us
Frankenstein's Monster,2600,1982,Data Age,0.32,0.32,us,us
Mountain King,2600,1982,CBS Electronics,0.31,0.31,us
Polaris,2600,1982,Tigervision,0.28,0.28,us
Mr. Do!,2600,1982,Coleco,0.27,0.27,us
Porky's,2600,1982,20th Century Fox Video Games,0.25,0.25,us
Assault,2600,1982,Bomb,0.22,0.22,us
Death Trap,2600,1982,Avalon Interactive,0.17,0.17,us
Pressure Cooker,2600,1982,Activision,0.15,0.15,us
Krull,2600,1982,Atari,0.14,0.14,us
Donkey Kong Country,SNES,1994,Nintendo,9.3,9.3,jp
Final Fantasy III,MULTI,1994,SquareSoft,3.42,4.82,jp
Sonic & Knuckles,GEN,1994,Sega,1.82,1.82,jp
Disney's The Lion King,MULTI,1994,Virgin Interactive,1.79,3.2,us
Sonic the Hedgehog 3,GEN,1994,Sega,1.76,1.76,jp
Mortal Kombat 3,MULTI,1994,Acclaim Entertainment,1.53,3.42,us
Super Metroid,SNES,1994,Nintendo,1.42,1.42,jp
Battle Arena Toshinden,PS,1994,Sony Computer Entertainment,1.27,1.27,jp
NBA Jam Tournament Edition,MULTI,1994,Acclaim Entertainment,1.11,2.37,us
Virtua Fighter,SAT,1994,Sega,1.07,1.07,jp
Super Momotarou Dentetsu III,SNES,1994,Hudson Soft,0.91,0.91,jp
Derby Stallion II,SNES,1994,ASCII Entertainment,0.87,0.87,jp
Kamaitachi no Yoru,SNES,1994,ChunSoft,0.81,0.81,jp
Super Bomberman 2,SNES,1994,Hudson Soft,0.81,0.81,jp
EarthBound,SNES,1994,Nintendo,0.81,0.81,jp
Ridge Racer,PS,1994,Sony Computer Entertainment,0.79,0.79,jp
Doom,PS,1994,Infogrames,0.78,0.78,fr
Super Bomberman 3,SNES,1994,Hudson Soft,0.7,0.7,jp
Fire Emblem: Monsh? no Nazo,SNES,1994,Nintendo,0.7,0.7,jp
Kirby's Dream Course,SNES,1994,Nintendo,0.59,0.59,jp
Theme Park,MULTI,1994,Electronic Arts,0.57,0.6499999999999999,us
Fatal Fury Special,SNES,1994,Takara,0.56,0.56,jp
Daytona USA,SAT,1994,Sega,0.55,0.55,jp
Romance of the Three Kingdoms IV: Wall of Fire,MULTI,1994,Tecmo Koei,0.53,0.66,jp
J-League Soccer: Prime Goal 2,SNES,1994,Namco Bandai Games,0.53,0.53,jp
NHL FaceOff,PS,1994,Sony Computer Entertainment,0.45,0.45,jp
Wonder Project J: Kikai no Shonen Pino,SNES,1994,Enix Corporation,0.43,0.43,jp
Jikkyou Powerful Pro Yakuu '94,SNES,1994,Konami Digital Entertainment,0.41,0.4,jp1
Samurai Shodown,MULTI,1994,Takara,0.4,0.47000000000000003,jp
Super Famista 3,SNES,1994,Namco Bandai Games,0.39,0.39,jp
ESPN Extreme Games,PS,1994,Sony Computer Entertainment,0.38,0.38,jp
Kileak: The DNA Imperative,PS,1994,Sony Computer Entertainment,0.37,0.37,jp
Super Formation Soccer 94,SNES,1994,Human Entertainment,0.37,0.37,jp
Super Robot Taisen EX,SNES,1994,Banpresto,0.37,0.37,jp
Shin Megami Tensei II,SNES,1994,Atlus,0.37,0.37,jp
Zero4 Champ RR,SNES,1994,Media Rings,0.36,0.36,jp
Super Fire ProWrestling Special,SNES,1994,Human Entertainment,0.36,0.36,jp
Breath of Fire II,SNES,1994,Laguna,0.36,0.36,jp
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Konami Digital Entertainment,0.36,0.36,jp
Super Power League 2,SNES,1994,Hudson Soft,0.33,0.33,jp
Parodius,MULTI,1994,Konami Digital Entertainment,0.33,0,jp.5
Live A Live,SNES,1994,SquareSoft,0.32,0.32,jp
Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,Namco Bandai Games,0.31,0.31,jp
Decathlete,SAT,1994,Sega,0.3,0.3,jp
Daikaijyuu Monogatari,SNES,1994,Hudson Soft,0.3,0.3,jp
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Enix Corporation,0.29,0.29,jp
International Superstar Soccer,SNES,1994,Konami Digital Entertainment,0.28,0.28,jp
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Namco Bandai Games,0.27,0.27,jp
Thoroughbred Breeder II,SNES,1994,Hect,0.27,0.27,jp
Virtua Racing,GEN,1994,Sega,0.26,0.26,jp
Galactic Attack,SAT,1994,Acclaim Entertainment,0.25,0.25,us
A. IV Evolution: A Ressha de Ikou 4,PS,1994,ArtDink,0.25,0.25,jp
Samurai Shodown II,NG,1994,SNK,0.25,0.25,jp
The King of Fighters '95 (CD),NG,1994,SNK,0.23,0.23,jp
Drift King Shutokou Battle '94,SNES,1994,BPS,0.2,0.2,jp
Samurai Spirits (CD),NG,1994,SNK,0.2,0.2,jp
Wing Arms,SAT,1994,Sega,0.2,0.2,jp
ThunderStrike 2,PS,1994,Core Design Ltd.,0.19,0.19,jp
SD Gundam GX,SNES,1994,Namco Bandai Games,0.19,0.19,jp
