Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Wii Sports,Wii,2006,Nintendo,82.74,82.74
Super Mario Bros.,NES,1985,Nintendo,40.24,40.24
Mario Kart Wii,Wii,2008,Nintendo,35.82,35.82
Wii Sports Resort,Wii,2009,Nintendo,33.0,33.0
Wii Play,Wii,2006,Nintendo,29.02,29.02
New Super Mario Bros. Wii,Wii,2009,Nintendo,28.62,28.62
Duck Hunt,NES,1984,Nintendo,28.31,28.31
Wii Fit,Wii,2007,Nintendo,22.72,22.72
Wii Fit Plus,Wii,2009,Nintendo,22.0,22.0
Kinect Adventures!,X360,2010,Microsoft Game Studios,21.82,21.82
Grand Theft Auto V,MULTI,2013,Take-Two Interactive,21.4,54.839999999999996
Grand Theft Auto: San Andreas,MULTI,2004,Take-Two Interactive,20.81,22.88
Super Mario World,SNES,1990,Nintendo,20.61,20.61
Super Mario Bros. 3,NES,1988,Nintendo,17.28,17.28
Grand Theft Auto: Vice City,PS2,2002,Take-Two Interactive,16.15,16.15
Gran Turismo 3: A-Spec,PS2,2001,Sony Computer Entertainment,14.98,14.98
Call of Duty: Modern Warfare 3,MULTI,2011,Activision,14.76,29.11
Call of Duty: Black Ops,MULTI,2010,Activision,14.64,28.77
Call of Duty: Black Ops 3,MULTI,2015,Activision,14.24,25.09
Call of Duty: Black Ops II,MULTI,2012,Activision,14.03,28.19
Call of Duty: Modern Warfare 2,MULTI,2009,Activision,13.51,24.2
Grand Theft Auto III,PS2,2001,Take-Two Interactive,13.1,13.1
Super Smash Bros. Brawl,Wii,2008,Nintendo,13.04,13.04
Halo 3,X360,2007,Microsoft Game Studios,12.14,12.14
Super Mario 64,N64,1996,Nintendo,11.89,11.89
Gran Turismo 4,PS2,2004,Sony Computer Entertainment,11.66,11.66
Super Mario Galaxy,Wii,2007,Nintendo,11.52,11.52
Grand Theft Auto IV,MULTI,2008,Take-Two Interactive,11.02,21.59
Gran Turismo,PS,1997,Sony Computer Entertainment,10.95,10.95
Gran Turismo 5,PS3,2010,Sony Computer Entertainment,10.77,10.77
Super Mario All-Stars,SNES,1993,Nintendo,10.55,10.55
Just Dance 3,MULTI,2011,Ubisoft,10.26,12.92
Call of Duty: Ghosts,MULTI,2013,Activision,10.21,26.650000000000002
Halo: Reach,X360,2010,Microsoft Game Studios,9.88,9.88
Mario Kart 64,N64,1996,Nintendo,9.87,9.87
Halo 4,X360,2012,Microsoft Game Studios,9.76,9.76
Final Fantasy VII,PS,1997,Sony Computer Entertainment,9.72,9.72
Just Dance 2,Wii,2010,Ubisoft,9.52,9.52
Gran Turismo 2,PS,1999,Sony Computer Entertainment,9.49,9.49
Call of Duty 4: Modern Warfare,MULTI,2007,Activision,9.32,16.04
Donkey Kong Country,SNES,1994,Nintendo,9.3,9.3
Minecraft,MULTI,2013,Microsoft Game Studios,9.2,21.48
The Elder Scrolls V: Skyrim,MULTI,2011,Bethesda Softworks,8.84,15.399999999999999
