Year,Publisher,Country,Sales
1980,Atari,USA,10.56
1980,Activision,USA,2.6
1981,Atari,USA,9.1
1981,Activision,USA,8.5
1981,Imagic,USA,4.82
1981,Coleco,USA,3.92
1981,Mattel Interactive,USA,2.53
1981,Autres,USA,5.31
1981,Taito,Japon,0.24
1982,Atari,USA,19.47
1982,Activision,USA,1.86
1982,Quelle,USA,0.87
1982,Universal Gamex,USA,0.63
1982,Wizard Video Games,USA,0.62
1982,Autres,USA,3.9299999999999997
1982,Sega,Japon,0.4
1983,Nintendo,Japon,11.96
1983,Atari,USA,3.39
1983,Activision,USA,1.94
1983,Parker Bros.,USA,0.5
1984,Nintendo,Japon,45.56
1984,Namco Bandai Games,Japon,2.21
1984,Hudson Soft,Japon,1.1
1984,Activision,USA,0.27
1985,Nintendo,Japon,49.95
1985,Namco Bandai Games,Japon,1.05
1985,Hudson Soft,Japon,1.04
1985,Capcom,Japon,1.0
1985,Activision,USA,0.45
1986,Nintendo,Japon,16.18
1986,Capcom,Japon,5.77
1986,Konami Digital Entertainment,Japon,5.63
1986,Namco Bandai Games,Japon,5.31
1986,Hudson Soft,Japon,4.66
1986,Atari,USA,0.66
1987,Nintendo,Japon,11.95
1987,Namco Bandai Games,Japon,2.67
1987,Enix Corporation,Japon,2.56
1987,SquareSoft,Japon,1.35
1987,Konami Digital Entertainment,Japon,0.93
1987,Autres,Japon,0.81
1987,Atari,USA,0.86
1987,Activision,USA,0.65
1988,Nintendo,Japon,36.93
1988,Enix Corporation,Japon,3.87
1988,Namco Bandai Games,Japon,2.43
1988,Capcom,Japon,1.51
1988,Activision,USA,0.75
1989,Palcom,Japon,5.74
1989,Capcom,Japon,1.67
1989,Namco Bandai Games,Japon,1.1
1989,Konami Digital Entertainment,Japon,0.85
1989,HAL Laboratory,Japon,0.06
1989,Activision,USA,0.47
1989,Atari,USA,0.15
1990,Nintendo,Japon,30.93
1990,Capcom,Japon,3.92
1990,Enix Corporation,Japon,3.12
1990,Sega,Japon,2.6
1990,Konami Digital Entertainment,Japon,2.23
1990,Autres,Japon,0.3
1991,Nintendo,Japon,11.6
1991,Sega,Japon,7.05
1991,Square,Japon,2.78
1991,Konami Digital Entertainment,Japon,2.5
1991,Capcom,Japon,2.23
1991,Autres,Japon,3.93
1991,Angel Studios,USA,0.29
1992,Nintendo,Japon,12.63
1992,Capcom,Japon,12.4
1992,Sega,Japon,7.98
1992,Enix Corporation,Japon,4.44
1992,SquareSoft,Japon,4.17
1992,Autres,Japon,3.37
1992,Arena Entertainment,Royaume-Uni,5.22
1992,Ocean,Royaume-Uni,0.28
1993,Nintendo,Japon,20.19
1993,Namco Bandai Games,Japon,5.38
1993,Capcom,Japon,5.26
1993,SquareSoft,Japon,3.0
1993,Sega,Japon,1.93
1993,Autres,Japon,7.79
1993,Acclaim Entertainment,USA,1.93
1993,Interplay,USA,0.01
1993,Ocean,Royaume-Uni,0.36
1993,Titus,France,0.07
1993,Imax,Canada,0.06
1994,Nintendo,Japon,12.82
1994,Sega,Japon,7.28
1994,SquareSoft,Japon,5.14
1994,Sony Computer Entertainment,Japon,3.43
1994,Hudson Soft,Japon,3.05
1994,Autres,Japon,12.389999999999995
1994,Acclaim Entertainment,USA,6.15
1994,Virgin Interactive,USA,3.2
1994,Electronic Arts,USA,0.65
1994,Time Warner Interactive,USA,0.11
1994,Infogrames,France,0.78
1994,PsygNorvègesis,Royaume-Uni,0.06
1995,Sony Computer Entertainment,Japon,16.64
1995,Nintendo,Japon,13.03
1995,Sega,Japon,7.07
1995,SquareSoft,Japon,5.1
1995,Enix Corporation,Japon,3.32
1995,Autres,Japon,13.53
1995,Ubisoft,France,3.03
1995,Electronic Arts,USA,2.99
1995,Crystal Dynamics,USA,1.04
1995,Acclaim Entertainment,USA,0.95
1995,GT Interactive,USA,0.27
1995,Mindscape,USA,0.24
1995,Autres,USA,0.27
1995,Virgin Interactive,Royaume-Uni,1.59
1995,PsygNorvègesis,Royaume-Uni,1.37
