Year,Names,Publisher,Country,Sales
1980,Asteroids,Atari,us,5.46
1980,Missile Command,Atari,us,3.21
1980,Defender,Atari,us,1.65
1980,Kaboom!,Activision,us,1.15
1980,Boxing,Activision,us,0.84
1980,Freeway,Activision,us,0.34
1981,E.T.: The Extra Terrestrial,Atari,us,1.97
1981,Ms. Pac-Man,Atari,us,1.65
1981,Centipede,Atari,us,2.01
1981,Pitfall!,Activision,us,4.5
1981,River Raid,Activision,us,1.6
1981,Megamania,Activision,us,1.1
1981,Demon Attack,Imagic,us,2.13
1981,Atlantis,Imagic,us,1.27
1981,Cosmic Ark,Imagic,us,1.05
1981,Donkey Kong,Coleco,us,2.59
1981,Smurf: Rescue In Gargamel's Castle,Coleco,us,0.59
1981,Mouse Trap,Coleco,us,0.4
1981,Adventures of Tron,Mattel Interactive,us,0.67
1981,BurgerTime,Mattel Interactive,us,0.59
1981,Frogs And Flies,Mattel Interactive,us,0.36
1981,Front Line,Taito,jp,0.24
1982,Pac-Man,Atari,us,9.03
1982,Dig Dug,Atari,us,2.05
1982,Pole Position,Atari,us,1.18
1982,Keystone Kapers,Activision,us,0.66
1982,The Activision Decathlon,Activision,us,0.55
1982,Chopper Command,Activision,us,0.5
1982,Enduro,Quelle,us,0.87
1982,X-Man,Universal Gamex,us,0.63
1982,Halloween,Wizard Video Games,us,0.62
1982,Congo Bongo,Sega,jp,0.4
1983,Baseball,Nintendo,jp,3.2
1983,Mario Bros.,Nintendo,jp,3.87
1983,Mahjong,Nintendo,jp,2.14
1983,Jr. Pac-Man,Atari,us,0.78
1983,Crystal Castles,Atari,us,0.77
1983,Midnight Magic,Atari,us,0.5
1983,Pitfall II: Lost Caverns,Activision,us,1.31
1983,Frostbite,Activision,us,0.34
1983,Dolphin,Activision,us,0.29
1983,Frogger II: Threeedeep!,Parker Bros.,us,0.33
1983,Mr. Do!'s Castle,Parker Bros.,us,0.17
1984,Duck Hunt,Nintendo,jp,28.31
1984,Excitebike,Nintendo,jp,4.16
1984,Golf,Nintendo,jp,4.01
1984,Xevious,Namco Bandai Games,jp,1.52
1984,Mappy,Namco Bandai Games,jp,0.69
1984,Lode Runner,Hudson Soft,jp,1.1
1984,Beamrider,Activision,us,0.27
1985,Super Mario Bros.,Nintendo,jp,40.24
1985,Kung Fu,Nintendo,jp,3.5
1985,Soccer,Nintendo,jp,1.96
1985,Tag Team Match M.U.S.C.L.E.,Namco Bandai Games,jp,1.05
1985,Bomberman,Hudson Soft,jp,1.04
1985,1942,Capcom,jp,1.0
1985,Ghostbusters,Activision,us,0.45
1986,The Legend of Zelda,Nintendo,jp,6.51
1986,Metroid,Nintendo,jp,2.73
1986,Super Mario Bros.: The Lost Levels,Nintendo,jp,2.65
1986,Dragon Warrior,Capcom,jp,2.52
1986,Ghosts 'n Goblins,Capcom,jp,1.64
1986,Commando,Capcom,jp,1.61
1986,Gradius,Konami Digital Entertainment,jp,1.36
1986,Castlevania,Konami Digital Entertainment,jp,1.87
1986,TwinBee,Konami Digital Entertainment,jp,1.2
1986,World Class Track Meet,Namco Bandai Games,jp,3.08
1986,Pro Yakyuu Family Stadium,Namco Bandai Games,jp,2.23
1986,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,Hudson Soft,jp,1.5
1986,Doraemon,Hudson Soft,jp,1.15
1986,Adventure Island,Hudson Soft,jp,1.05
1986,Solaris,Atari,us,0.37
1986,RealSports Boxing,Atari,us,0.29
